word;n.total;r
enorme;2183;0.990891139563029
juntos;2183;0.990891139563029
teoría;2183;0.990891139563029
chico;2179;0.990865660233136
suficiente;2178;0.990852920568189
armas;2176;0.990840180903242
ocasión;2175;0.990827441238295
carne;2172;0.990814701573349
marcha;2164;0.990801961908402
servicio;2160;0.990789222243455
azul;2158;0.990770112746035
cuál;2158;0.990770112746035
cuya;2150;0.990751003248615
siguió;2144;0.990738263583668
ocho;2142;0.990725523918721
alegría;2134;0.990706414421301
teresa;2134;0.990706414421301
música;2128;0.990680935091407
tío;2128;0.990680935091407
aquellas;2125;0.990655455761513
morir;2125;0.990655455761513
peor;2122;0.990636346264093
real;2120;0.990623606599146
obra;2119;0.990604497101726
tiempos;2119;0.990604497101726
gritó;2118;0.990585387604306
seguida;2112;0.990572647939359
noches;2102;0.990553538441939
tales;2102;0.990553538441939
correr;2101;0.990534428944519
lleno;2100;0.990521689279572
iban;2090;0.990508949614625
sigue;2087;0.990496209949678
mas;2083;0.990483470284732
acaso;2081;0.990464360787311
cuidado;2081;0.990464360787311
miles;2080;0.990438881457418
política;2080;0.990438881457418
larga;2073;0.990419771959997
john;2072;0.990407032295051
problemas;2071;0.990394292630104
izquierda;2069;0.990381552965157
pensé;2068;0.99036881330021
espíritu;2067;0.990356073635263
venido;2065;0.990343333970317
necesario;2064;0.99033059430537
soldados;2063;0.990317854640423
derecha;2059;0.990305114975476
vuelto;2052;0.990292375310529
médico;2051;0.990279635645583
extraño;2050;0.990266895980636
juego;2047;0.990254156315689
mitad;2043;0.990241416650742
diferentes;2042;0.990228676985795
cocina;2035;0.990215937320848
sensación;2034;0.990203197655902
jardín;2032;0.990190457990955
dormir;2030;0.990177718326008
comprender;2029;0.990152238996114
cuyo;2029;0.990152238996114
tendría;2029;0.990152238996114
inmediatamente;2027;0.990120389833747
respecto;2027;0.990120389833747
abuelo;2021;0.990101280336327
últimos;2014;0.99008854067138
juan;2013;0.990075801006433
mala;2012;0.990063061341487
pena;2010;0.99005032167654
partir;2008;0.990037582011593
esther;2006;0.990018472514173
